,name,distance,latitude,longitude,api,query
271,Bull & Firkin,115,43.6975969,-79.39654,foursquare,bar
272,Kramer's Bar & Grill,109,43.6975969,-79.39654,foursquare,bar
273,The Keg Steakhouse + Bar,907,43.6975969,-79.39654,foursquare,bar
274,Fionn MacCool's,47,43.6975969,-79.39654,foursquare,bar
275,Little Sister,442,43.6975969,-79.39654,foursquare,bar
276,Balsamico,437,43.6975969,-79.39654,foursquare,bar
277,Tabule Restaurant,373,43.6975969,-79.39654,foursquare,bar
278,Tamasha,114,43.6975969,-79.39654,foursquare,bar
279,Red Lantern Pub,580,43.6975969,-79.39654,foursquare,bar
280,Bar Hop,669,43.639832,-79.395954,foursquare,bar
281,The Cloak Bar,442,43.639832,-79.395954,foursquare,bar
282,Steam Whistle Brewing,744,43.639832,-79.395954,foursquare,bar
283,WVRST,621,43.639832,-79.395954,foursquare,bar
284,Bang Sue Bar,731,43.639832,-79.395954,foursquare,bar
285,Amsterdam BrewHouse,916,43.639832,-79.395954,foursquare,bar
286,Victor Restaurant & Bar,752,43.639832,-79.395954,foursquare,bar
287,BarChef,972,43.639832,-79.395954,foursquare,bar
288,Thompson Rooftop Lounge,604,43.639832,-79.395954,foursquare,bar
289,Belgian Moon Brewery,597,43.639832,-79.395954,foursquare,bar
290,Her Father's Cider Bar + Kitchen,688,43.667333,-79.399429,foursquare,bar
291,Cibo Wine Bar - Yorkville,587,43.667333,-79.399429,foursquare,bar
292,Madison Avenue Pub,333,43.667333,-79.399429,foursquare,bar
293,Harbord House,723,43.667333,-79.399429,foursquare,bar
294,The Oxley,629,43.667333,-79.399429,foursquare,bar
295,Crafty Coyote,763,43.667333,-79.399429,foursquare,bar
296,L'Espresso Bar Mercurio,35,43.667333,-79.399429,foursquare,bar
297,Dbar,891,43.667333,-79.399429,foursquare,bar
298,Victory Cafe,762,43.667333,-79.399429,foursquare,bar
299,Bar Mercurio,73,43.667333,-79.399429,foursquare,bar
300,Earl's Kitchen & Bar,42,43.6480008,-79.383177,foursquare,bar
301,Bar Hop,878,43.6480008,-79.383177,foursquare,bar
302,Library Bar,305,43.6480008,-79.383177,foursquare,bar
303,Bar Hop Brewco,834,43.6480008,-79.383177,foursquare,bar
304,Pravda Vodka Bar,681,43.6480008,-79.383177,foursquare,bar
305,Beer Bistro,502,43.6480008,-79.383177,foursquare,bar
306,Steam Whistle Brewing,762,43.6480008,-79.383177,foursquare,bar
307,Town Crier Pub,564,43.6480008,-79.383177,foursquare,bar
308,C'est What,784,43.6480008,-79.383177,foursquare,bar
309,King Taps,104,43.6480008,-79.383177,foursquare,bar
310,Bar+ Karaoke Lounge,612,43.656518,-79.389099,foursquare,bar
311,T Bar,544,43.656518,-79.389099,foursquare,bar
312,Bar Hop Brewco,898,43.656518,-79.389099,foursquare,bar
313,The Queen and Beaver Public House,460,43.656518,-79.389099,foursquare,bar
314,Town Crier Pub,938,43.656518,-79.389099,foursquare,bar
315,Cold Tea,996,43.656518,-79.389099,foursquare,bar
316,Soho House,889,43.656518,-79.389099,foursquare,bar
317,Queen St Warehouse,718,43.656518,-79.389099,foursquare,bar
318,Lobby Lounge at the Shangri-La Toronto,843,43.656518,-79.389099,foursquare,bar
319,Neo Coffee Bar,479,43.656518,-79.389099,foursquare,bar
320,The Rosedale Diner,850,43.687999,-79.38906,foursquare,bar
321,Barnsteiner's,408,43.687999,-79.38906,foursquare,bar
322,Boxcar Social,720,43.687999,-79.38906,foursquare,bar
323,Aroma Espresso Bar,370,43.687999,-79.38906,foursquare,bar
324,Lcbo,743,43.687999,-79.38906,foursquare,bar
325,The Bagel House,378,43.687999,-79.38906,foursquare,bar
326,Mani Pedi Spa,638,43.687999,-79.38906,foursquare,bar
327,Waxon Inc,620,43.687999,-79.38906,foursquare,bar
328,Capocaccia Cafe,412,43.687999,-79.38906,foursquare,bar
329,Terroni,910,43.687999,-79.38906,foursquare,bar
330,Bandit Brewery,450,43.656388899999996,-79.45166666666667,foursquare,bar
331,The Mugshot Tavern,672,43.656388899999996,-79.45166666666667,foursquare,bar
332,Cabin Fever Collective,413,43.656388899999996,-79.45166666666667,foursquare,bar
333,The Gaslight,307,43.656388899999996,-79.45166666666667,foursquare,bar
334,Henderson Brewing Co,567,43.656388899999996,-79.45166666666667,foursquare,bar
335,Whelan's Gate Irish Pub,408,43.656388899999996,-79.45166666666667,foursquare,bar
336,The Dizzy,912,43.656388899999996,-79.45166666666667,foursquare,bar
337,Lithuanian Hall,199,43.656388899999996,-79.45166666666667,foursquare,bar
338,Loons Pub,520,43.656388899999996,-79.45166666666667,foursquare,bar
339,Jenny Bar & Restaurant,149,43.656388899999996,-79.45166666666667,foursquare,bar
340,Bar Hop,862,43.639179,-79.39959499999999,foursquare,bar
341,The Cloak Bar,482,43.639179,-79.39959499999999,foursquare,bar
