,free_bikes,rating,review_count,distance,total
759,5,4.0,196,994.8002809978112,174
761,11,4.0,27,705.3689675809981,328
762,11,4.5,61,566.7506161502348,328
763,11,4.5,22,331.18464673607133,328
764,11,4.0,233,542.6372886827146,328
765,11,4.5,15,797.5681264133981,328
766,11,4.0,38,51.06192662513948,328
767,11,4.5,10,684.056278412191,328
768,11,4.0,137,418.58680646423073,328
769,11,4.5,9,438.390691727316,328
770,11,4.5,20,639.2557549045977,328
771,11,4.0,175,807.3329846544307,328
772,11,4.5,156,535.2266744753241,328
773,11,4.0,107,620.7639765525546,328
774,11,3.5,121,64.62651452340684,328
775,11,4.5,20,395.74646123760857,328
776,11,4.5,3,332.4978233645429,328
777,11,4.5,157,631.8109613412637,328
778,11,4.0,27,588.2281448092114,328
779,11,4.0,24,745.8472601368322,328
780,1,4.0,109,281.5628962368375,63
781,1,4.5,35,849.4622417653143,63
782,1,4.5,12,960.8524112388684,63
783,1,4.5,41,734.3755043824456,63
784,1,4.5,4,588.7931129456299,63
785,1,3.5,35,220.7404480843292,63
788,1,4.0,84,1015.1892637726801,63
789,1,4.5,9,814.5344678519999,63
790,1,4.0,1,582.4602329930901,63
791,1,4.0,62,804.9872610379228,63
792,1,5.0,2,904.4568254252854,63
793,1,3.5,18,809.607049763339,63
794,1,4.5,26,1088.0622713992007,63
795,1,3.5,89,509.9745931330872,63
796,1,4.0,74,1005.3737219878177,63
798,1,4.0,48,960.227448004848,63
799,1,3.5,101,1082.386157052928,63
800,5,4.5,12,533.6496960375443,83
801,5,4.5,41,298.99031118608445,83
802,5,4.0,109,699.1539919161099,83
803,5,4.0,36,649.4623689129813,83
804,5,3.5,35,220.73317808210854,83
805,5,4.0,62,377.1841787806618,83
806,5,4.0,61,1011.0447890202593,83
808,5,4.5,26,704.2211545515088,83
809,5,4.0,48,531.8493399553892,83
811,5,4.5,23,1028.9043909163242,83
812,5,3.5,89,82.97035386412676,83
815,5,4.5,2,311.2304733821705,83
816,5,4.5,4,1013.0465403789136,83
817,5,4.0,18,722.7716441595275,83
818,5,4.5,22,829.7589362220704,83
819,5,4.0,84,1262.2763932964654,83
820,21,4.0,308,1195.1797004607674,83
822,21,5.0,5,785.6834211584543,83
823,21,4.0,3,817.4706495515663,83
825,21,3.5,13,615.6039675469833,83
826,21,4.0,104,951.3512011577452,83
827,21,3.5,179,1177.8203180372686,83
828,21,5.0,1,665.2013326293669,83
829,21,4.5,83,1161.4508100930714,83
830,21,4.0,208,485.95513473779437,83
831,21,4.5,149,1200.8562914288875,83
832,21,3.5,63,1264.087322893794,83
833,21,3.5,23,1199.7379894128896,83
834,21,4.0,12,1236.7838424714716,83
835,21,4.0,22,862.5777558478516,83
836,21,4.0,36,1236.7838424714716,83
837,21,4.0,72,1190.2090416401445,83
839,21,4.0,19,1153.2343099303075,83
840,2,4.0,61,311.6634006352784,121
841,2,4.5,12,376.76460284548455,121
842,2,4.0,36,69.31553526605244,121
843,2,3.5,231,285.11712613590214,121
845,2,3.5,20,378.95387050936426,121
846,2,4.0,8,196.19295229128795,121
847,2,4.5,276,895.7207957319722,121
848,2,4.0,27,349.0228149796269,121
849,2,4.5,22,290.55421686585976,121
850,2,4.0,196,835.9408691495382,121
851,2,4.5,23,499.71287226140413,121
852,2,4.5,41,465.5572864790825,121
853,2,4.0,48,369.593987458668,121
854,2,3.5,4,276.62902513036875,121
855,2,4.0,151,538.8665107547816,121
856,2,3.5,80,328.5815125446835,121
857,2,4.0,18,431.4270785366532,121
858,2,4.5,11,297.2052987475528,121
861,0,3.5,68,203.23832127258373,173
862,0,4.0,153,290.3205616405918,173
863,0,3.5,339,110.31307129449141,173
865,0,4.0,11,444.0149196462432,173
866,0,4.5,123,229.96066137167415,173
867,0,5.0,5,99.32755831382829,173
868,0,4.5,14,94.61776139292614,173
869,0,4.5,18,541.4114298082869,173
870,0,4.0,4,268.3505478832654,173
871,0,4.5,18,93.95041822679184,173
872,0,3.5,27,65.2493587001978,173
873,0,4.5,33,518.1336946376816,173
874,0,4.0,44,1130.1240258565465,173
